"","PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
"1","Agra",18,"SC","Uttar Pradesh [2000 Onwards]","Dr. Ram Shankar Katheria","Bharatiya Janta Party",1814739,1070400,"59.00%",300263,"28.10%"
"2","Ahmadnagar",37,"GEN","Maharashtra","Gandhi Dilipkumar Mansukhlal","Bharatiya Janta Party",1699408,1062318,"62.50%",209122,"19.70%"
"3","Ahmedabad East",7,"GEN","Gujarat","Paresh Rawal","Bharatiya Janta Party",1601832,985525,"61.50%",326633,"33.10%"
"4","Ahmedabad West",8,"SC","Gujarat","Dr. Kirit P Solanki","Bharatiya Janta Party",1534400,964609,"62.90%",320311,"33.20%"
"5","Ajmer",13,"GEN","Rajasthan","Sanwar Lal Jat","Bharatiya Janta Party",1683292,1156314,"68.70%",171983,"14.90%"
"6","Akbarpur",44,"GEN","Uttar Pradesh [2000 Onwards]","Devendra Singh @ Bhole Singh","Bharatiya Janta Party",1768623,971375,"54.90%",278997,"28.70%"
"7","Akola",6,"GEN","Maharashtra","Dhotre Sanjay Shamrao","Bharatiya Janta Party",1646463,978491,"59.40%",203116,"20.80%"
"8","Aligarh",15,"GEN","Uttar Pradesh [2000 Onwards]","Satish Kumar","Bharatiya Janta Party",1793126,1064357,"59.40%",286736,"26.90%"
"9","Allahabad",52,"GEN","Uttar Pradesh [2000 Onwards]","Shyama Charan Gupta","Bharatiya Janta Party",1666569,891582,"53.50%",62009,"7.00%"
"10","Almora",3,"SC","Uttarakhand","Ajay Tamta","Bharatiya Janta Party",1254328,656525,"52.30%",95690,"14.60%"
"11","Alwar",8,"GEN","Rajasthan","Chand Nath","Bharatiya Janta Party",1628067,1062305,"65.30%",283895,"26.70%"
"12","Ambala",1,"SC","Haryana","Rattan Lal Kataria","Bharatiya Janta Party",1692227,1218995,"72.00%",340074,"27.90%"
"13","Ambedkar Nagar",55,"GEN","Uttar Pradesh [2000 Onwards]","Hari Om Pandey","Bharatiya Janta Party",1718774,1034404,"60.20%",139429,"13.50%"
"14","Amreli",14,"GEN","Gujarat","Kachhadiya Naranbhai Bhikhabhai","Bharatiya Janta Party",1486286,808816,"54.40%",156232,"19.30%"
