"","Film","Genre","Rotten.Tomatoes.Ratings..","Audience.Ratings..","Budget..million...","Year.of.release"
"1","(500) Days of Summer ","Comedy",87,81,8,2009
"2","17 Again ","Comedy",55,70,20,2009
"3","27 Dresses","Comedy",40,71,30,2008
"4","30 Minutes or Less","Comedy",43,48,28,2011
"5","50/50","Comedy",93,93,8,2011
"6","A Very Harold and Kumar Christmas","Comedy",72,71,19,2011
"7","Adventureland ","Comedy",89,56,10,2009
"8","All About Steve ","Comedy",6,35,15,2009
"9","Arthur","Comedy",26,49,40,2011
"10","Away We Go ","Comedy",67,74,21,2009
"11","Baby Mama","Comedy",63,59,70,2008
"12","Bad Teacher","Comedy",44,38,20,2011
"13","Bandslam ","Comedy",79,60,20,2009
"14","Be Kind, Rewind","Comedy",65,57,20,2008
"15","Bedtime Stories","Comedy",25,63,80,2008
"16","Beginners","Comedy",84,80,4,2010
"17","Blades of Glory","Comedy",69,66,61,2007
"18","Bride Wars ","Comedy",11,56,30,2009
"19","Bridesmaids","Comedy",90,77,33,2011
"20","Bruno ","Comedy",68,48,42,2009
"21","Burn After Reading","Comedy",78,64,37,2008
"22","Cedar Rapids","Comedy",86,61,10,2011
"23","City Island","Comedy",81,77,6,2009
"24","Confessions of a Shopaholic ","Comedy",24,53,70,2009
"25","Couples Retreat ","Comedy",12,47,60,2009
"26","Cyrus","Comedy",80,51,7,2010
"27","Daddy Day Camp","Comedy",1,63,6,2007
"28","Date Night","Comedy",66,58,55,2010
"29","Death at a Funeral","Comedy",40,48,21,2007
"30","Definitely, Maybe","Comedy",71,72,7,2008
"31","Diary of a Wimpy Kid","Comedy",53,49,15,2010
"32","Diary of a Wimpy Kid 2: Rodrick Rules","Comedy",47,63,21,2011
"33","Did You Hear About the Morgans? ","Comedy",12,31,58,2009
"34","Dinner for Schmucks","Comedy",43,47,69,2010
"35","Disaster Movie","Comedy",2,28,20,2008
"36","Drillbit Taylor","Comedy",26,49,40,2008
"37","Due Date","Comedy",40,56,50,2010
"38","Easy A","Comedy",85,75,8,2010
"39","Enchanted","Comedy",93,80,85,2007
"40","Epic Movie","Comedy",2,38,20,2007
"41","Evan Almighty","Comedy",23,56,175,2007
"42","Extract ","Comedy",62,37,8,2009
"43","Fame","Comedy",25,43,18,2009
"44","Fired Up! ","Comedy",22,52,20,2009
"45","First Sunday","Comedy",13,59,13,2008
"46","Forgetting Sarah Marshall","Comedy",85,75,30,2008
"47","Four Christmases","Comedy",26,52,80,2008
"48","Funny People ","Comedy",68,58,75,2009
"49","Furry Vengeance	","Comedy",8,36,35,2010
"50","Get Him to the Greek","Comedy",73,63,40,2010
"51","Ghost Town","Comedy",85,60,20,2008
