Film,Genre,Rotten Tomatoes Ratings %,Audience Ratings %,Budget (million $),Year of release
(500) Days of Summer,Comedy,87,81,8,2009
17 Again,Comedy,55,70,20,2009
27 Dresses,Comedy,40,71,30,2008
30 Minutes or Less,Comedy,43,48,28,2011
50/50,Comedy,93,93,8,2011
A Very Harold and Kumar Christmas,Comedy,72,71,19,2011
Adventureland,Comedy,89,56,10,2009
All About Steve,Comedy,6,35,15,2009
Arthur,Comedy,26,49,40,2011
Away We Go,Comedy,67,74,21,2009
Baby Mama,Comedy,63,59,70,2008
Bad Teacher,Comedy,44,38,20,2011
Bandslam,Comedy,79,60,20,2009
"Be Kind, Rewind",Comedy,65,57,20,2008
Bedtime Stories,Comedy,25,63,80,2008
Beginners,Comedy,84,80,4,2010
Blades of Glory,Comedy,69,66,61,2007
Bride Wars,Comedy,11,56,30,2009
Bridesmaids,Comedy,90,77,33,2011
Bruno,Comedy,68,48,42,2009
Burn After Reading,Comedy,78,64,37,2008
Cedar Rapids,Comedy,86,61,10,2011
City Island,Comedy,81,77,6,2009
Confessions of a Shopaholic,Comedy,24,53,70,2009
Couples Retreat,Comedy,12,47,60,2009
Cyrus,Comedy,80,51,7,2010
Daddy Day Camp,Comedy,1,63,6,2007
Date Night,Comedy,66,58,55,2010
Death at a Funeral,Comedy,40,48,21,2007
"Definitely, Maybe",Comedy,71,72,7,2008
Diary of a Wimpy Kid,Comedy,53,49,15,2010
Diary of a Wimpy Kid 2: Rodrick Rules,Comedy,47,63,21,2011
Did You Hear About the Morgans?,Comedy,12,31,58,2009
Dinner for Schmucks,Comedy,43,47,69,2010
Disaster Movie,Comedy,2,28,20,2008
Drillbit Taylor,Comedy,26,49,40,2008
Due Date,Comedy,40,56,50,2010
Easy A,Comedy,85,75,8,2010
Enchanted,Comedy,93,80,85,2007
Epic Movie,Comedy,2,38,20,2007
Evan Almighty,Comedy,23,56,175,2007
Extract,Comedy,62,37,8,2009
Fame,Comedy,25,43,18,2009
Fired Up!,Comedy,22,52,20,2009
First Sunday,Comedy,13,59,13,2008
Forgetting Sarah Marshall,Comedy,85,75,30,2008
Four Christmases,Comedy,26,52,80,2008
Funny People,Comedy,68,58,75,2009
Furry Vengeance,Comedy,8,36,35,2010
Get Him to the Greek,Comedy,73,63,40,2010
Ghost Town,Comedy,85,60,20,2008
Ghosts of Girlfriends Past,Comedy,27,47,50,2009
Going the Distance,Comedy,53,56,32,2010
Good Luck Chuck,Comedy,3,61,25,2007
Greenberg,Comedy,75,40,0,2010
Grown Ups,Comedy,10,59,80,2010
Gulliver's Travels,Comedy,21,31,112,2010
Hall Pass,Comedy,35,44,36,2011
Hannah Montana: The Movie,Comedy,44,66,35,2009
He's Just Not That Into You,Comedy,42,60,25,2009
High School Musical 3: Senior Year,Comedy,65,76,11,2008
Horrible Bosses,Comedy,69,72,35,2011
Hotel for Dogs,Comedy,46,57,35,2009
I Love You Beth Cooper,Comedy,14,38,18,2009
I Love You Phillip Morris,Comedy,71,57,15,2009
"I Love You, Man",Comedy,83,72,40,2009
I Now Pronounce You Chuck and Larry,Comedy,13,73,85,2007
